seller_id,category,zone,latitude,longitude,population,water_consumption_lpd,wastewater_generated_kl,day_of_week,season
S0126,Institution,East,12.970936,77.662255,85,13203.66,11.62,4,Summer
S0127,Apartment,East,12.999989,77.699865,230,33766.75,27.01,4,Winter
S0128,Institution,North,13.117791,77.613986,224,26720.24,20.31,0,Monsoon
S0129,Commercial,South,12.885166,77.598162,304,35439.78,28.35,0,Winter
S0130,Industry,North,13.106868,77.604725,547,66457.11,53.17,6,Winter
S0131,Industry,South,12.906863,77.580812,317,52783.58,42.23,1,Winter
S0132,Industry,South,12.914087,77.582076,588,62958.72,50.37,2,Winter
S0133,Commercial,East,12.976139,77.665361,402,53724.43,47.28,4,Summer
S0134,Apartment,Central,12.974812,77.598163,228,39273.48,34.56,3,Summer
S0135,Industry,Central,12.989219,77.594324,997,143952.09,115.16,2,Winter
S0136,Apartment,South,12.916166,77.57393,215,29255.66,22.23,6,Monsoon
S0137,Industry,Central,12.965862,77.594883,762,118728.25,94.98,4,Winter
S0138,Industry,West,12.945883,77.517064,529,85440.6,75.19,3,Summer
S0139,Hospital,West,12.958365,77.519201,202,25814.2,22.72,5,Summer
S0140,Industry,North,13.105336,77.589606,310,34196.22,27.36,6,Winter
S0141,Institution,Central,12.973391,77.586012,87,9953.27,8.76,3,Summer
S0142,Industry,South,12.893827,77.595872,394,55640.24,44.51,1,Winter
S0143,Commercial,Central,12.974077,77.578954,376,42681.57,32.44,3,Monsoon
S0144,Apartment,West,12.953905,77.481272,119,13048.45,10.44,0,Winter
S0145,Industry,North,13.09424,77.615769,277,35015.01,26.61,2,Monsoon
S0146,Commercial,South,12.881572,77.591976,220,34105.01,27.28,5,Winter
S0147,Institution,East,12.966279,77.675091,105,17793.73,13.52,0,Monsoon
S0148,Institution,West,12.963891,77.51945,382,49521.63,37.64,5,Monsoon
S0149,Hospital,East,12.969445,77.690398,227,31099.63,27.37,4,Summer
S0150,Hospital,North,13.082494,77.58591,520,81675.34,71.87,6,Summer
S0151,Apartment,South,12.913778,77.589985,286,48441.88,42.63,5,Summer
S0152,Commercial,West,12.961305,77.489699,218,28379.84,22.7,1,Winter
S0153,Industry,Central,12.972559,77.603628,285,35966.94,28.77,3,Winter
S0154,Industry,Central,12.959329,77.583717,224,34569.51,26.27,2,Monsoon
S0155,Institution,North,13.105953,77.599183,307,43891.34,33.36,1,Monsoon
S0156,Institution,Central,12.97231,77.593461,315,34715.02,26.38,0,Monsoon
S0157,Hospital,South,12.893498,77.595986,469,68315.6,51.92,2,Monsoon
S0158,Industry,East,12.999461,77.684231,488,49094.14,39.28,4,Winter
S0159,Apartment,East,12.966114,77.669838,53,8907.47,6.77,5,Monsoon
S0160,Commercial,South,12.891404,77.566935,410,68627.9,60.39,2,Summer
S0161,Institution,East,12.98098,77.676416,115,20674.75,16.54,5,Winter
S0162,Apartment,Central,12.965914,77.608779,53,5322.47,4.05,5,Monsoon
S0163,Institution,West,12.950316,77.486836,141,24583.36,19.67,6,Winter
S0164,Apartment,North,13.101401,77.599065,222,35866.19,28.69,5,Winter
S0165,Commercial,North,13.11872,77.608438,311,43729.35,34.98,0,Winter
S0166,Industry,South,12.901194,77.588289,853,104996.15,79.8,4,Monsoon
S0167,Hospital,Central,12.970244,77.607281,482,68736.65,52.24,0,Monsoon
S0168,Apartment,Central,12.964769,77.588171,54,5673.78,4.99,3,Summer
S0169,Commercial,East,12.968069,77.687383,183,22027.94,16.74,4,Monsoon
S0170,Apartment,North,13.080108,77.584668,192,26443.41,20.1,6,Monsoon
S0171,Apartment,East,12.991772,77.664268,118,19641.05,14.93,3,Monsoon
S0172,Institution,West,12.956341,77.517318,216,25142.43,19.11,2,Monsoon
S0173,Hospital,South,12.88266,77.589645,555,57635.4,43.8,4,Monsoon
S0174,Hospital,South,12.885591,77.591811,419,68700.48,52.21,2,Monsoon
S0175,Hospital,North,13.086571,77.612583,528,79569.96,60.47,5,Monsoon
S0176,Institution,East,12.974353,77.695088,168,25979.28,19.74,6,Monsoon
S0177,Apartment,Central,12.978551,77.605987,174,21595.18,17.28,6,Winter
S0178,Institution,North,13.09755,77.603099,224,38520.38,33.9,6,Summer
S0179,Commercial,Central,12.971274,77.572665,203,30437.63,23.13,2,Monsoon
S0180,Commercial,South,12.897261,77.573313,278,35248.3,28.2,3,Winter
S0181,Industry,West,12.971761,77.504803,677,116113.22,92.89,3,Winter
S0182,Institution,East,12.999908,77.690096,368,37787.19,28.72,5,Monsoon
S0183,Commercial,West,12.968563,77.499759,429,54640.25,41.53,5,Monsoon
S0184,Industry,East,12.981459,77.675153,415,61551.4,54.17,6,Summer
S0185,Hospital,West,12.971892,77.485997,196,26012.42,22.89,4,Summer
S0186,Hospital,East,12.988801,77.685646,392,56934.34,50.1,1,Summer
S0187,Commercial,North,13.090072,77.593828,110,19439.86,14.77,5,Monsoon
S0188,Institution,West,12.949094,77.496944,381,56843.68,43.2,1,Monsoon
S0189,Hospital,South,12.903449,77.580236,260,41102.79,32.88,2,Winter
S0190,Commercial,South,12.917285,77.582605,423,69036.46,60.75,4,Summer
S0191,Commercial,North,13.10829,77.586102,191,24821.37,18.86,0,Monsoon
S0192,Institution,East,12.976965,77.689458,375,62713.19,55.19,2,Summer
S0193,Hospital,West,12.958034,77.48453,554,62735.87,47.68,3,Monsoon
S0194,Commercial,East,12.964987,77.696834,418,52214.7,45.95,2,Summer
S0195,Institution,Central,12.973651,77.58596,388,49204.52,43.3,3,Summer
S0196,Hospital,West,12.971512,77.504149,440,58015.54,44.09,0,Monsoon
S0197,Institution,West,12.974541,77.516918,289,40016.95,35.21,2,Summer
S0198,Commercial,North,13.098089,77.588984,463,80108.24,64.09,5,Winter
S0199,Hospital,South,12.887055,77.579935,347,35640.49,28.51,0,Winter
S0200,Apartment,Central,12.964496,77.593224,199,23403.95,18.72,1,Winter
S0201,Institution,East,12.986541,77.667121,163,22285.22,17.83,3,Winter
S0202,Hospital,West,12.956585,77.483414,338,38787.88,29.48,6,Monsoon
S0203,Apartment,North,13.103815,77.582683,264,35413.78,28.33,2,Winter
S0204,Institution,West,12.953975,77.498729,384,39522.81,34.78,5,Summer
S0205,Institution,West,12.973463,77.503498,336,54446.18,43.56,6,Winter
S0206,Apartment,East,12.981106,77.681378,162,21393.89,16.26,5,Monsoon
S0207,Commercial,Central,12.980614,77.574119,363,61326.25,46.61,6,Monsoon
S0208,Hospital,West,12.97013,77.490892,515,73195.03,55.63,0,Monsoon
S0209,Apartment,South,12.881015,77.566246,227,38444.61,33.83,0,Summer
S0210,Apartment,South,12.902069,77.570156,264,40590.37,30.85,4,Monsoon
S0211,Institution,West,12.963802,77.493571,308,35199.34,28.16,0,Winter
S0212,Industry,South,12.902269,77.588833,295,52834.0,42.27,5,Winter
S0213,Hospital,Central,12.983209,77.585887,314,34943.98,30.75,5,Summer
S0214,Hospital,East,12.971726,77.695853,156,23502.84,18.8,0,Winter
S0215,Industry,North,13.088315,77.581061,580,98667.01,74.99,4,Monsoon
S0216,Institution,North,13.096857,77.615707,382,57292.7,50.42,2,Summer
S0217,Industry,South,12.890377,77.575188,670,68834.63,52.31,3,Monsoon
S0218,Hospital,West,12.964966,77.496376,371,47866.65,38.29,4,Winter
S0219,Industry,East,12.971779,77.697938,563,62610.7,50.09,1,Winter
S0220,Commercial,Central,12.972631,77.609415,314,51492.36,39.13,0,Monsoon
S0221,Commercial,South,12.899391,77.580498,108,15479.72,13.62,4,Summer
S0222,Industry,North,13.096102,77.588721,477,79560.94,60.47,3,Monsoon
S0223,Hospital,East,12.965291,77.696023,247,30080.79,22.86,2,Monsoon
S0224,Industry,South,12.912903,77.581186,241,35215.24,30.99,5,Summer
S0225,Hospital,South,12.882687,77.57621,527,83063.74,73.1,4,Summer
S0226,Industry,Central,12.95044,77.575475,486,82576.85,62.76,1,Monsoon
S0227,Institution,East,12.984021,77.686601,252,42096.24,33.68,4,Winter
S0228,Hospital,South,12.895326,77.580757,213,27329.97,20.77,5,Monsoon
S0229,Industry,North,13.109521,77.583312,491,79384.33,63.51,4,Winter
S0230,Industry,East,12.975572,77.671548,711,123174.42,98.54,2,Winter
S0231,Apartment,North,13.091885,77.602656,147,19364.6,15.49,5,Winter
S0232,Industry,East,12.9654,77.67935,961,98497.36,78.8,3,Winter
S0233,Apartment,Central,12.956481,77.603661,130,18162.21,13.8,4,Monsoon
S0234,Institution,South,12.886187,77.584933,152,16113.68,12.89,0,Winter
S0235,Hospital,South,12.896512,77.588197,253,34100.91,30.01,6,Summer
S0236,Apartment,South,12.883037,77.563111,157,24425.39,21.49,5,Summer
S0237,Institution,Central,12.95021,77.574124,180,19318.78,15.46,2,Winter
S0238,Commercial,West,12.978484,77.511601,156,21166.15,18.63,6,Summer
S0239,Apartment,North,13.083468,77.618327,132,20932.29,15.91,4,Monsoon
S0240,Hospital,South,12.910361,77.588964,347,61920.81,47.06,1,Monsoon
S0241,Industry,East,12.979577,77.668848,688,120761.03,91.78,6,Monsoon
S0242,Commercial,East,12.961767,77.683531,381,55410.97,48.76,1,Summer
S0243,Apartment,East,12.972514,77.664821,56,6932.12,6.1,1,Summer
S0244,Apartment,West,12.956871,77.511814,272,45958.05,40.44,6,Summer
S0245,Apartment,East,12.978206,77.680897,152,15650.01,12.52,6,Winter
S0246,Commercial,North,13.094588,77.602427,400,42462.5,37.37,4,Summer
S0247,Hospital,South,12.901211,77.577641,513,74792.44,59.83,0,Winter
S0248,Industry,West,12.961536,77.506466,596,89442.5,67.98,4,Monsoon
S0249,Institution,West,12.964635,77.489318,390,53412.62,42.73,1,Winter
S0250,Commercial,North,13.080851,77.614988,240,31372.11,25.1,2,Winter
S0251,Apartment,Central,12.952801,77.570379,78,12587.25,11.08,4,Summer
S0252,Industry,South,12.881504,77.579191,471,80020.15,60.82,6,Monsoon
S0253,Institution,South,12.895931,77.563668,144,17150.71,13.03,2,Monsoon
S0254,Apartment,Central,12.968692,77.58188,291,35998.05,28.8,5,Winter
S0255,Hospital,Central,12.973564,77.581091,586,104904.43,79.73,0,Monsoon
S0256,Industry,West,12.944379,77.495665,339,59837.99,52.66,4,Summer
S0257,Institution,North,13.111454,77.583576,277,49468.44,39.57,6,Winter
S0258,Institution,East,12.997789,77.678696,305,34575.63,27.66,3,Winter
S0259,Institution,Central,12.952599,77.586063,142,16819.27,12.78,2,Monsoon
S0260,Apartment,Central,12.970508,77.579227,275,35949.99,31.64,0,Summer
S0261,Commercial,East,12.967458,77.691183,361,59226.23,52.12,5,Summer
S0262,Apartment,West,12.978764,77.515351,148,21871.73,17.5,0,Winter
S0263,Hospital,East,12.966956,77.67585,327,45549.43,36.44,0,Winter
S0264,Institution,West,12.946156,77.512633,348,41031.08,36.11,6,Summer
S0265,Apartment,East,12.961395,77.695797,150,16097.84,14.17,0,Summer
S0266,Institution,East,12.975647,77.670918,108,18478.78,14.04,0,Monsoon
S0267,Industry,South,12.914088,77.561417,662,100901.62,76.69,4,Monsoon
S0268,Institution,East,12.989409,77.671256,203,26352.46,20.03,2,Monsoon
S0269,Commercial,East,12.988937,77.679835,136,15995.59,12.16,4,Monsoon
S0270,Commercial,South,12.915779,77.599659,213,29737.3,22.6,5,Monsoon
S0271,Hospital,East,12.983696,77.692987,205,31358.64,27.6,2,Summer
S0272,Institution,Central,12.98458,77.599356,295,48319.25,42.52,3,Summer
S0273,Institution,South,12.914023,77.594692,248,31426.74,25.14,4,Winter
S0274,Apartment,East,12.987899,77.687206,240,37420.62,32.93,3,Summer
S0275,Institution,East,12.966344,77.695235,393,53934.38,43.15,6,Winter
S0276,Institution,North,13.113033,77.585155,237,40928.98,31.11,1,Monsoon
S0277,Commercial,North,13.112719,77.613285,111,11156.71,9.82,4,Summer
S0278,Institution,South,12.904677,77.599247,96,10489.68,8.39,1,Winter
S0279,Industry,East,12.98536,77.681599,874,96381.13,84.82,2,Summer
S0280,Commercial,West,12.970441,77.501651,323,54008.74,41.05,3,Monsoon
S0281,Apartment,East,12.985305,77.697281,270,44038.23,33.47,3,Monsoon
S0282,Commercial,Central,12.977515,77.572713,318,36032.65,28.83,3,Winter
S0283,Industry,West,12.942694,77.503287,904,94588.81,71.89,2,Monsoon
S0284,Commercial,North,13.114097,77.619606,274,48637.8,42.8,3,Summer
S0285,Industry,West,12.965903,77.503776,659,67196.22,53.76,2,Winter
S0286,Institution,East,12.992861,77.674873,137,13711.28,10.42,1,Monsoon
S0287,Apartment,East,12.970945,77.699885,258,27909.28,22.33,0,Winter
S0288,Hospital,North,13.086545,77.611792,306,37904.21,30.32,1,Winter
S0289,Hospital,East,12.990913,77.669202,176,29822.2,22.66,5,Monsoon
S0290,Institution,South,12.886042,77.577293,100,17276.2,13.82,4,Winter
S0291,Commercial,Central,12.975541,77.585904,486,60728.69,46.15,1,Monsoon
S0292,Hospital,West,12.975764,77.489198,594,68921.07,55.14,0,Winter
S0293,Commercial,East,12.986067,77.674741,370,50957.36,38.73,2,Monsoon
S0294,Hospital,Central,12.988728,77.577421,294,31544.19,23.97,6,Monsoon
S0295,Institution,Central,12.968148,77.591214,278,41727.14,31.71,3,Monsoon
S0296,Institution,North,13.081301,77.616834,125,17120.97,13.01,5,Monsoon
S0297,Commercial,West,12.944692,77.485007,335,40134.07,35.32,0,Summer
S0298,Institution,Central,12.958021,77.589664,398,60544.38,53.28,4,Summer
S0299,Institution,North,13.09076,77.611902,143,19507.72,14.83,4,Monsoon
S0300,Industry,North,13.082898,77.5957,565,100556.43,88.49,5,Summer
S0301,Hospital,North,13.091667,77.607799,438,77180.81,58.66,0,Monsoon
S0302,Apartment,West,12.941585,77.49922,137,15299.31,11.63,3,Monsoon
S0303,Institution,South,12.919467,77.5657,159,22035.57,16.75,3,Monsoon
S0304,Institution,South,12.908099,77.582386,321,40483.53,30.77,1,Monsoon
S0305,Institution,South,12.90137,77.595301,156,16580.66,14.59,5,Summer
S0306,Commercial,West,12.952884,77.519099,189,29324.71,25.81,1,Summer
S0307,Commercial,East,12.992858,77.661647,404,71154.1,56.92,4,Winter
S0308,Hospital,South,12.908259,77.561263,411,61373.96,54.01,6,Summer
S0309,Apartment,East,12.981652,77.688362,57,10019.92,7.62,3,Monsoon
S0310,Apartment,East,12.992069,77.673578,176,18728.02,14.23,3,Monsoon
S0311,Hospital,Central,12.97212,77.593899,171,23287.71,20.49,2,Summer
S0312,Commercial,Central,12.95163,77.57656,113,12037.94,9.15,5,Monsoon
S0313,Apartment,South,12.903731,77.586012,74,12560.96,11.05,1,Summer
S0314,Industry,North,13.093161,77.598807,884,101279.38,76.97,6,Monsoon
S0315,Institution,East,12.977346,77.661746,379,54738.62,41.6,1,Monsoon
S0316,Commercial,Central,12.976131,77.583293,411,73151.2,55.59,2,Monsoon
S0317,Institution,Central,12.953261,77.58613,172,22957.18,20.2,6,Summer
S0318,Institution,South,12.890307,77.578505,292,46186.67,36.95,4,Winter
S0319,Institution,West,12.97385,77.505151,299,38775.25,29.47,3,Monsoon
S0320,Apartment,East,12.980194,77.681732,228,33355.04,26.68,3,Winter
S0321,Commercial,North,13.081176,77.595821,327,55548.75,42.22,1,Monsoon
S0322,Hospital,East,12.991718,77.6862,392,57776.11,46.22,5,Winter
S0323,Industry,West,12.954366,77.495354,729,109732.59,96.56,6,Summer
S0324,Commercial,South,12.889432,77.59104,199,34371.8,30.25,6,Summer
S0325,Apartment,North,13.105302,77.594914,51,5838.39,4.67,4,Winter
S0326,Apartment,East,12.962765,77.677487,295,50049.7,38.04,6,Monsoon
S0327,Industry,Central,12.973717,77.593177,283,41724.41,33.38,5,Winter
S0328,Institution,South,12.906085,77.572486,107,12909.62,11.36,4,Summer
S0329,Commercial,Central,12.950361,77.593537,263,46705.03,37.36,6,Winter
S0330,Commercial,Central,12.959387,77.605348,217,24647.0,21.69,1,Summer
S0331,Commercial,East,12.977951,77.686776,460,61856.66,54.43,3,Summer
S0332,Institution,North,13.103515,77.617943,392,44438.43,35.55,3,Winter
S0333,Industry,East,12.975174,77.684222,886,135650.46,119.37,4,Summer
S0334,Industry,East,12.991272,77.688215,355,60043.74,48.03,5,Winter
S0335,Institution,South,12.888234,77.564477,209,22956.07,20.2,4,Summer
S0336,Commercial,South,12.917464,77.561574,218,25718.79,20.58,4,Winter
S0337,Industry,West,12.977355,77.492646,890,91959.99,80.92,1,Summer
S0338,Apartment,North,13.095895,77.599196,92,9327.92,7.09,0,Monsoon
S0339,Industry,West,12.965565,77.514717,422,50782.62,44.69,2,Summer
S0340,Apartment,West,12.959554,77.506675,133,14637.89,12.88,5,Summer
S0341,Commercial,South,12.892317,77.588187,333,52824.43,42.26,1,Winter
S0342,Industry,North,13.087534,77.609233,868,117614.02,103.5,4,Summer
S0343,Industry,East,12.998534,77.670212,392,65483.3,52.39,1,Winter
S0344,Commercial,North,13.094972,77.580701,244,40618.72,35.74,6,Summer
S0345,Commercial,North,13.102824,77.581215,427,69874.63,55.9,3,Winter
S0346,Hospital,North,13.107061,77.588627,291,38269.16,33.68,4,Summer
S0347,Institution,West,12.963087,77.493943,271,28145.24,21.39,0,Monsoon
S0348,Institution,Central,12.984658,77.609733,348,56581.61,45.27,4,Winter
S0349,Hospital,South,12.891547,77.564364,247,32685.81,26.15,5,Winter
S0350,Hospital,South,12.917027,77.577527,231,39323.43,29.89,6,Monsoon
S0351,Commercial,Central,12.967423,77.602713,443,54821.05,41.66,6,Monsoon
S0352,Institution,East,12.96023,77.672983,155,23061.91,17.53,6,Monsoon
S0353,Institution,East,12.987819,77.675542,384,55163.5,41.92,2,Monsoon
S0354,Apartment,East,12.969091,77.662928,148,16794.38,12.76,5,Monsoon
S0355,Hospital,North,13.10478,77.59854,152,21795.14,17.44,1,Winter
S0356,Commercial,Central,12.969167,77.571026,253,27504.51,22.0,4,Winter
S0357,Hospital,Central,12.965953,77.593207,449,62022.9,47.14,2,Monsoon
S0358,Hospital,West,12.970595,77.512519,513,90514.69,79.65,4,Summer
S0359,Commercial,South,12.912896,77.577234,435,66032.12,58.11,3,Summer
S0360,Apartment,East,12.998186,77.686188,100,10482.14,9.22,4,Summer
S0361,Apartment,West,12.959167,77.487782,127,17636.46,15.52,4,Summer
